iter	Passed	Remaining
0	709	1417584
1	1149	1148164
2	1572	1046472
3	1954	975360
4	2222	886829
5	2474	822255
6	2756	784849
7	3037	756442
8	3304	731099
9	3591	714618
10	3892	703876
11	4124	683251
12	4402	672954
13	4651	659866
14	4881	646019
15	5115	634298
16	5389	628664
17	5660	623241
18	5981	623632
19	6228	616586
20	6520	614464
21	6815	612791
22	7111	611267
23	7422	611151
24	7755	612713
25	8030	609693
26	8318	607875
27	8650	609253
28	8924	606554
29	9238	606677
30	9548	606474
31	9832	604687
32	10180	606804
33	10567	611053
34	10914	612758
35	11294	616172
36	11655	618375
37	11965	617790
38	12280	617463
39	12739	624225
40	13127	627257
41	13417	625513
42	13792	627700
43	14102	626942
44	14452	627886
45	14816	629369
46	15109	627828
47	15444	628080
48	15763	627654
49	16112	628400
50	16459	629003
51	16812	629816
52	17178	631081
53	17492	630359
54	17814	629980
55	18199	631771
56	18502	630706
57	18932	633915
58	19340	636280
59	19717	637542
60	20037	636943
61	20343	635897
62	20708	636693
63	21069	637354
64	21424	637795
65	21709	636151
66	22056	636339
67	22392	636220
68	22690	635017
69	22961	633087
70	23298	633004
71	23613	632321
72	23954	632331
73	24229	630622
74	24563	630454
75	24832	628648
76	25109	627074
77	25337	624339
78	25570	621791
79	25802	619262
80	26084	617967
81	26367	616751
82	26653	615597
83	26931	614297
84	27210	613046
85	27450	610942
86	27724	609628
87	27958	607452
88	28227	606104
89	28458	603959
90	28695	601974
91	28982	601078
92	29259	599977
93	29530	598774
94	29799	597565
95	30084	596678
96	30314	594717
97	30578	593481
98	30800	591429
99	31068	590294
100	31343	589311
101	31627	588523
102	31889	587327
103	32094	585105
104	32373	584256
105	32651	583417
106	32880	581706
107	33102	579899
108	33416	579724
109	33744	579788
110	34023	579006
111	34280	577870
112	34551	576979
113	34822	576091
114	35092	575204
115	35349	574128
116	35578	572608
117	35812	571182
118	36038	569644
119	36319	568997
120	36586	568146
121	36858	567377
122	37087	565959
123	37327	564735
124	37603	564059
125	37823	562546
126	38052	561203
127	38332	560611
128	38607	559959
129	38868	559115
130	39132	558308
131	39349	556849
132	39620	556180
133	39898	555598
134	40119	554245
135	40344	552952
136	40609	552229
137	40872	551483
138	41090	550137
139	41369	549628
140	41684	549581
141	42003	549600
142	42277	549010
143	42555	548487
144	42830	547937
145	43095	547257
146	43365	546644
147	43644	546142
148	43916	545561
149	44177	544850
150	44417	543898
151	44712	543604
152	44986	543068
153	45248	542390
154	45535	542013
155	45772	541051
156	46024	540276
157	46267	539396
158	46535	538813
159	46811	538331
160	47030	537200
161	47307	536730
162	47531	535676
163	47780	534908
164	48092	534841
165	48310	533748
166	48545	532833
167	48823	532412
168	49123	532214
169	49396	531741
170	49671	531282
171	49892	530256
172	50108	529181
173	50374	528643
174	50598	527672
175	50870	527199
176	51135	526671
177	51398	526110
178	51663	525582
179	51865	524415
180	52126	523854
181	52335	522776
182	52561	521883
183	52840	521510
184	53110	521053
185	53320	520022
186	53606	519727
187	53882	519334
188	54245	519781
189	54540	519568
190	54847	519469
191	55150	519333
192	55407	518766
193	55646	518033
194	55953	517932
195	56407	519183
196	56911	520866
197	57248	521015
198	57530	520668
199	57816	520344
200	58133	520311
201	58467	520419
202	58838	520853
203	59203	521226
204	59555	521470
205	59834	521081
206	60103	520609
207	60438	520697
208	60769	520757
209	61158	521305
210	61454	521056
211	61774	521000
212	62331	522943
213	62704	523315
214	63050	523462
215	63357	523287
216	64864	532964
217	65514	535538
218	65994	536693
219	66562	538547
220	67618	544315
221	68002	544631
222	68350	544659
223	68779	545325
224	69114	545235
225	69494	545500
226	69819	545329
227	70307	546422
228	70666	546505
229	70954	546044
230	71200	545254
231	71657	546080
232	72034	546284
233	72367	546161
234	72664	545758
235	72968	545407
236	73237	544802
237	73466	543900
238	73777	543609
239	74266	544621
240	74579	544340
241	74875	543932
242	75173	543540
243	75411	542719
244	75605	541582
245	75834	540709
246	76049	539735
247	76216	538430
248	76428	537457
249	76593	536153
250	76794	535116
251	76982	533992
252	77192	533027
253	77395	532017
254	77606	531073
255	77778	529864
256	77948	528654
257	78118	527448
258	78288	526253
259	78482	525226
260	78679	524226
261	78839	522990
262	79050	522090
263	79252	521145
264	79457	520219
265	79662	519303
266	79819	518081
267	80034	517238
268	80266	516512
269	80440	515414
270	80632	514443
271	80840	513575
272	80995	512375
273	81148	511175
274	81355	510321
275	81561	509463
276	81738	508433
277	81988	507856
278	82176	506904
279	82410	506234
